"","date","beta_v","Re"
"1","2020-02-21",2.16935674111559,2.26332087881648
"2","2020-02-22",2.33548539289247,2.43742218084715
"3","2020-02-23",2.42675419853038,2.5296337188693
"4","2020-02-24",2.46632127296989,2.57287138527091
"5","2020-02-25",2.80670323386323,2.9399643578139
"6","2020-02-26",2.67514856788445,2.81565938154086
"7","2020-02-27",2.61473038381641,2.75905816481862
"8","2020-02-28",2.60739662981083,2.75902472566074
"9","2020-02-29",2.41652416051395,2.56938657455332
"10","2020-03-01",2.11989726213728,2.26890440806081
"11","2020-03-02",1.83025336369502,1.9758332103277
"12","2020-03-03",1.48380220209292,1.62390341164808
"13","2020-03-04",1.26263746078747,1.40105087141236
"14","2020-03-05",0.984962231399263,1.10703925440969
"15","2020-03-06",0.783422703769599,0.886340464717257
"16","2020-03-07",0.596238009217441,0.678866862796867
"17","2020-03-08",0.533334060637867,0.610454165806102
"18","2020-03-09",0.512926653047167,0.590237261130429
"19","2020-03-10",0.498756656994367,0.572831181394589
"20","2020-03-11",0.474736903440193,0.542981786585957
"21","2020-03-12",0.427354290706341,0.48496513770001
"22","2020-03-13",0.380645105947868,0.42681114268537
"23","2020-03-14",0.381753608322696,0.417403162628063
"24","2020-03-15",0.435462808590217,0.460013135299002
"25","2020-03-16",0.46586343991354,0.473505501811551
"26","2020-03-17",0.493087924409607,0.480854312374816
"27","2020-03-18",0.483729063453444,0.4501740616845
"28","2020-03-19",0.458553482889731,0.406887606896141
"29","2020-03-20",0.441745226662794,0.379948675536152
"30","2020-03-21",0.407406791715827,0.346314064691959
"31","2020-03-22",0.312048400532988,0.264730400009718
"32","2020-03-23",0.215564393026053,0.18076130180833
"33","2020-03-24",0.129352220946228,0.106562999456746
"34","2020-03-25",0.106430910170337,0.0858450000840026
"35","2020-03-26",0.102552503480018,0.0814239669824297
"36","2020-03-27",0.0940993735541108,0.0723437904279382
"37","2020-03-28",0.0863275347976533,0.0624577952474597
"38","2020-03-29",0.0905124075358198,0.060533589844762
"39","2020-03-30",0.110355750883239,0.0669341411479564
"40","2020-03-31",0.137861181869532,0.0743786397627693
"41","2020-04-01",0.161503525490819,0.0748961063497567
"42","2020-04-02",0.210543328615168,0.082883174231067
"43","2020-04-03",0.291085559898095,0.100733425289633
